Sexo Edad Respuesta
Masculino 42 Sí
Femenino 35 Sí
Masculino 36 "Tal vez"
Masculino 39 No
Masculino 28 Sí
Femenino 22 "Tal vez"
Masculino 34 "Tal vez"
Femenino 26 "Tal vez"
Masculino 20 No
Masculino 29 Sí
Masculino 18 Sí
Femenino 28 "Tal vez"
Masculino 32 No
Femenino 31 Sí
Masculino 42 No
Femenino 22 "Tal vez"
Masculino 35 No
Masculino 31 No
Femenino 33 "Tal vez"
Masculino 36 "Tal vez"
Masculino 38 "Tal vez"
Masculino 39 No
Masculino 39 Sí
Femenino 24 Sí
Masculino 32 "Tal vez"
Masculino 37 Sí
Femenino 31 Sí
Masculino 31 "Tal vez"
Femenino 45 Sí
Masculino 37 No
Masculino 27 "Tal vez"
Masculino 41 Sí
Masculino 41 "Tal vez"
Masculino 22 No
Femenino 20 "Tal vez"
Femenino 18 No
Femenino 39 "Tal vez"
Masculino 38 No
Femenino 31 No
Masculino 26 Sí
Masculino 43 "Tal vez"
Masculino 31 "Tal vez"
Masculino 28 Sí
Femenino 34 Sí
Femenino 37 No
Femenino 24 No
Masculino 37 No
Masculino 18 Sí
Femenino 39 Sí
Masculino 26 No
Femenino 40 No
Masculino 37 "Tal vez"
Masculino 38 Sí
Masculino 34 "Tal vez"
Masculino 39 No
Masculino 21 "Tal vez"
Femenino 23 "Tal vez"
Masculino 21 Sí
Femenino 29 Sí
Masculino 25 No
Femenino 24 "Tal vez"
Femenino 39 "Tal vez"
Masculino 22 No
Masculino 21 No
Masculino 32 "Tal vez"
Masculino 30 No
Masculino 38 Sí
Masculino 30 Sí
Masculino 42 "Tal vez"
Femenino 38 No
Masculino 39 "Tal vez"
Masculino 36 No
Femenino 18 Sí
Femenino 28 Sí
Femenino 28 Sí
Masculino 18 "Tal vez"
Femenino 43 "Tal vez"
Masculino 29 No
Femenino 20 "Tal vez"
Masculino 18 Sí
Femenino 23 "Tal vez"
Masculino 19 Sí
Femenino 33 Sí
Femenino 20 Sí
Femenino 42 Sí
Masculino 44 Sí
Femenino 23 "Tal vez"
Masculino 24 Sí
Masculino 32 No
Femenino 35 Sí
Femenino 40 Sí
Femenino 44 "Tal vez"
Masculino 30 No
Masculino 44 No
Femenino 40 Sí
Femenino 23 Sí
Masculino 28 "Tal vez"
Femenino 40 Sí
Femenino 24 No
Femenino 27 "Tal vez"
